Sex,Age,TV01,TV02,TV03,TV04,TV05,TV06,TV07,TV08,TV09,TV10,TV11,TV12,TV13,TV14,TV15,TV16,TV17,TV18,TV19,TV20,TV21,TV22,TV23,TV24,TV25,TV26,TV27,TV28,TV29,TV30,TV31,TV32,TV33,TV34,TV35,TV36,TV37,TV38,TV39,TV40,TV41,TV42,TV43,TV44,TV45,P_ID,Note
1,43,危険な　鋭い　傷つく,淡く光る　永遠の　切なく光る,先の長い　遠い　苦労の絶え間ない,空に舞う　美しい　綺麗に,止められない　押し寄せる　絶え間なき,激しい　ぶつかり合う　収まりどころを見失った,鋭い　傷つける,時を刻む　健康の　人を陥れる,綺麗な　丸い,澄んだ　綺麗な　美しい,滲んだ　悲しいみの　地を染める,脆い　甘い　硬い,奔る　強烈な　痺れる,若者を育てる　人を造る　心を生む,可愛らしい　愛くるしい　誰しもが跪く,複雑な　奥の深い,高い　大きい　硬い,澄んだ　広い　,愛くるしい　羽のついた　堕ちのない,淡い　綺麗な　秋夜長の,激しい　全てを覆い潰す　,黒い　大きな　深い,長い　遠い　何処までも続く,優しい　くすぐるような　頬を掠める,気高き　ひれ伏させる　大きい,逃げれない　縛られた,色とりどりの　色鮮やかな,主に捧げる　厳しい　少ない,淡い　激しく燃え滾る　美しい,重りを司る　決断を下す　慎重に物事を測る,鈍い　臭い　ボロ,心を覆い隠す　先の見えない　晴れ間のない,硬い　高い　底のある,明るい　温かい　消えない,予測不可能な　目を曇らす　決まりのない,薄暗い　闇の広がる　底の見えない,薄い　濃い　辺りを覆い隠す,激しい　熱い　凄まじい,透き通った　澄んだ　綺麗な,赤い　太目の　艶がかった,素敵な　綺麗な　美しい　,命の　大切な　未知の,黄金の　金に輝く　,香り漂う　色とりどりの　身だしなみに使う,硬い　頑丈な　錠前のかかった,864699,
2,47,鋭利だ、痛烈だ,輝く、染める,ゆっくりだ、進む,ヒラヒラしている、舞っている,流れる、怒涛のようだ,押し寄せる、怒っている,鋭い、えぐるようだ,爆発する、蝕む,零れ落ちる、玉のようだ,尖っている、透き通っている,どんよりしている、立ち込めている,四角い、重なり合う,刺激がある、パワフルだ、ピリっとする,規則正しい、大きい,かわいい、わがままな,分析する、読む,高い、物悲しい,美しい、壮大だ,清らかだ、小さい,オレンジだ、明るい,押し寄せる、爆音だ,怖い、破裂する,上り詰める、成長する,甘い、くすぐったい,どっしりだ、頼れる,苦痛だ、閉じ込められている,通り過ぎる、美しい,高い、払う、辛い,ゆらゆらしている、燃え盛る,釣り合う、揺れている,ガチガチだ、硬い,見えない、心配だ,そびえている、乗り越えにくい,はかない、揺れる,驚く、怖い,静かだ、冷たい,覆われている、曇っている,吹き上がる、湧き上がる,澄み切っている、静かだ,吸い付く、ヌメヌメしている,美しい、明るい,規則正しい、ドキドキしている,広大だ、静かだ,かぐわしい、優雅だ,閉じ込められる、正しい,517718,
2,39,切れる、鋭い,明るい、光だ,高い、登る,きれいだ、美しい,怖い、溢れる,荒々しい、暗い,鋭い、固い,怖い、暗い,きれいだ、美しい,美しい、きれい,薄い、暗い,甘い、脆い,刺激的だ、明るい,大きい、広い,可愛い、美しい,難解だ、難しい,高い、固い,明るい、きれいだ,可愛い、小さい,明るい、美味しい,崩れやすい、柔らかい,悪い、固い,積み上げる、高い,ささやかだ、少ない,動かない、えらい,高い、固い,温かい、巡りだ,淡い、少ない,きれいだ、怖い,動き、平等だ,のろい、固い,暗い、見えない,固い、頑丈だ,明るい、きれい,暗い、深い,くらい、深い,神秘的だ、美しい,力強い、明るい,きれいだ、明るい,柔らかい、軟弱だ,きれいだ、美しい,計る、動く,広い、きれいだ,美しい、香ばしい,窮屈だ、暗い,453182,
2,38,ひねくれた、嫌味な,美しさ、綺麗さ,困難だ、大変だ,華麗な、綺麗な,流れゆく、儚げ,暴力的な、危険な,騒がしさ、挑戦的な,危険だ、不健康さ,美しさ、見惚れる,繊細、綺麗,儚げ、薄暗さ,整然とした、白さ,震えるような、痺れるような,教育的な、生産的な,可愛さ、愛される,難しさ、困難さ,大きな、立派な,美しさ、綺麗だ,愛すべき、可愛い,綺麗な、自然な,過激な、危険な,怪しさ、胡散臭さ,段階的な、遠い,軽やか、軽い,大きな、迫力がある,不自由な、奴隷的な,激しい、燃える,酷い、悲しみ,不思議な、怖さ,正当な、正しさ,汚い、醜い,分かりにくい、不明瞭な,頑丈、しっかりしている,漲る、頑張れる,不条理な、危険な,静けさ、物静か,分かりにくい、謎めいた,激しい、危険な,澄んでいる、青々としている,気色悪さ、気持ち悪さ,見映えが良い、美しい,激しい、生物的な,広大な、壮観な,香しい、花のよう,厳しい、硬さ,737833,
2,49,刺さる、傷つく、痛い,赤茶色い、暗い、渋い,進む、下がる、集まる,舞う、踊る、羽ばたく,流れる、止まらない、進む,うねる、狂う、怒る,鋭い、切る、刺さる,燃える、減る、燻る,美しい、輝く、光る,輝く、光る、美しい,湿る、暗い、黒い,四角い、脆い、必要だ,響く、伝わる、流れる,守る、習う、行なう,気高い、可愛い、幼い,読む、考える、見る,堅い、不動だ、立ちはだかる,映る、明るい、輝く,白い、素直だ、明るい,揺れる、ぶら下がる、丸っこい,流れる、止まらない、立ちはだかる,悪い、不安だ、心配だ,上がる、下がる、留まる,軽やか、弱い、儚い,大きい、高い、怖い,辛い、暗い、狭い,変わる、不安だ、飽きない,納める、渡す、失う,赤い、丸っこい、揺れる,判断する、決める、考える,拭く、汚れている、目立たない,立ちはだかる、纏わりつく、晴れない,立ちはだかる、高い、冷たい,明るい、燃える、揺らめく,不安だ、恐ろしい、怖い,暗い、静かだ、怖い,儚い、弱い、薄い,弾ける、怖い、恐ろしい,深い、青い、澄んでいる,動く、うねる、赤い,明るい、美しい、綺麗だ,動く、止まらない、刻む,広い、大きい、怖い,華やか、香る、甘い,立ちはだかる、守る、固い,650129,
1,35,刺す、痛い、痛快だ,きれい、輝いている,登る、大変だ、疲れる,踊っている、軽い,押し寄せる、流れる、激しい,激しい、恐い,刺す、痛い,壊れる、危ない,美しい、輝いている,美しい、きれい、光る,薄い、立ち込める、怖い,四角い、冷たい,しびれる、痛い,厳しい、規則正しい,強い、かわいい、譲らない,読めない、分かりにくい,固い、頑丈だ、重たい,美しい、透き通っている、映す,かわいい、優しい,ぶら下がる、吊っている,壊れる、突然だ、激しい,取りたい、痛い、邪魔だ,上る、疲れる、厳しい,優しい、気持ちいい,強い、偉大だ、高い,きつい、出たい,途切れない、なくならない、流れる,重い、苦しい、つらい,恐い、飛んでいる,難しい、迷う,固い、くさい,見えにくい、はっきりしない、立ち込める,建てる、作る、組み上げる,明るい、見える,怖い、残酷だ,静かだ、止まっている、怖い,かかっている、立ち込める、薄い,激しい、熱い,映す、きれい、輝いている,吸いつく、べたべたしている,美しい、優しい、見たい,刻む、正確だ、動く,なびいている、美しい、広い,美しい、匂う、きれい,固い、入れられる、はめる,132018,
1,30,鋭い、刺す、切る,輝く、丸い,大変な、長い、進む,妖艶な、舞う、美しい,飲み込む、膨大な,刹那的な、荒れる,切る、開く,病む、危険な,美しい、映る、小さい,きらめく、透明な,暗い、不穏な、湿った,崩れる、脆い,痺れる、刹那的な,画一的な、作り上げる,奔放な、傲慢な、おだてる,難解な、理論的な,こびり付く、古い,変化する、多種多様な、映し出す,尊い、大切な、愛らしい,ぶら下がる、赤い,刹那的な、突発的な,邪魔な、膨れ上がる,積み上げる、基礎的な,吹く、優しい、心地よい,大きな、寛大な、雄大な,縛る、繰り返す、憂鬱な,移り変わる、冷める,納める、強制的な、必要な,ほのかな、漂う,振れる、傾く,古い、汚れる,漂う、見えない、形のない,組み立てる、構造的な,明るい、温かい、安心する,突然の、来る、分からない,静かな、黙る、重苦しい,包む、隠れる,爆発する、突発的な,映す、豊富な,吸う、厚い,朗らかな、明るい、和む,刻む、限る,広がる、揺れる、広大な,香る、様々な,縛る、窮屈な,372370,
2,46,短い、小気味良い、鋭い,紅い、美しい、静かだ,険しい、難しい,忙しい、細かい、キレイ,激しい、大きい、慌しい,激しい、凄まじい、怒り,冷たい、鋭い、痛い,怖い、危険だ、悪い,丸い、美しい、脆い,儚い、細かい、美しい,黒い、怖い、おどろおどろしい,脆い、溶ける、四角い,鋭い、凄まじい、迸る,厳格だ、不自由だ、狭い,可愛い、愛らしい、大切だ,難しい、難解だ、困る,大きい、硬い、高い,広い、静謐だ、大きい,可愛い、拙い、幼い,丸い、可愛い、甘い,激しい、荒い、怖い,怪しい、疑わしい、痛い,険しい、辛い、厳しい,わずかだ、小さい、儚い,大きい、荒々しい、でかい,辛い、怖い、厳しい,移ろいやすい、変わりやすい、儚い,厳しい、長い、辛い,美しい、儚い、小さい,難しい、平等だ,汚い、のろい、ぼろい,怖い、見えない、恐ろしい,硬い、冷たい、大きい,小さい、始まりだ、明るい,突然だ、急激だ、理不尽だ,深い、暗い、怖い,薄い、白い、透き通った,激しい、荒々しい、怒る,深い、青い、広い,吸う、分厚い、軟らかい,華やかだ、癒しだ、キレイ,刻む、忙しい、慌しい,広い、大きい、果てしない,キレイ、美しい、かぐわしい,厳しい、冷たい、四角四面だ,417966,
1,39,傷つける、鋭い,丸い、赤い,辛い、継続する,飛ぶ、踊る,流れる、過ぎる,暴れる、荒ぶる,女々しい、鬱陶しい,点く、燃える,輝く、丸い,割れる、美しい,薄暗い、鬱陶しい,脆い、壊れる,痛い、びっくりする,面白くない、辛い,愛くるしい、敬う,難しい、解読する,固い、建てる,反射する、投影する,可愛い、心優しい,好まれる、赤い,行進する、動く,大きくなる、発生する,登る、成長する,弱い、がっかりする,偉い、大きい,閉じ込める、苦しい,変わる、終わる,支払う、強制される,赤い、散りゆく,判定する、公正である,臭い、丈夫である,見えない、深い,組み立てる、作る,消える、儚い,怖い、出会う,深い、黙る,覆い隠す、包まれる,怒る、憤る,青い、映る,気持ち悪い、柔らかい,笑う、美しい,脈打つ、正しい,広い、大きい,匂う、楽しむ,堅苦しい、生き辛い,541460,
2,38,きつい、強烈,丸い、赤みがかり,険しい、少しずつ,美しい、きれい,勢い、一瞬,激しい、危険,するどい、切れ味,害悪、危険、死ぬ,美しい、神秘的,美しい、透明,薄暗い、憂鬱,弱い、崩壊,痺れる、瞬間,規律、規則,わがまま、勝手,神秘的、難しい,高い、硬い,美しい、きれい,無垢、かわいい,渋い、和風,勢い、勢い,あやしい、膨らむ,順番、段階的,弱々しい、か弱い,荘厳、威厳,監禁、地獄,温かい、厳しい、変わる,高い、搾取,切ない、儚い,公平、揺らぐ,臭い、汚い,見えない、わからない,構築、積立,明るい、消える,残酷、冷酷,静か、深淵,隠れる、神秘的,勢い、激しい,潤い、きれい,いかがわしい、吸う,明るい、楽しい,規則的、拍,広い、夏,きれい、美しい,保身、結束,919589,
1,63,危険な、危ない、傷つける,赤い、輝く,坂道を上る、高い、辛い,舞う、美しい、優雅な,流れる、通り過ぎる、止まらない,荒れる、襲い掛かる、破壊する,傷つける、鋭い,恐ろしい、潜んでいる、隠れている,丸い、輝く、美しい,透き通る、美しい、神秘的な,暗い、憂鬱な、重たい,四角い、積みあがる,しびれる、ショックだ,生み出す、育てる,我儘な、可愛い、愛らしい,不可解な、並べる、意味不明な,建つ、堅い,晴れ渡る、輝く、光る,純真な、可愛い、心安らぐ,垂れ下がる、輝く、ぶら下がる,なだれ込む、押し寄せる、圧力をかける,残る、晴れない,一段ずつ、昇る、積み上げる,柔らかい、心地よい、うっとりする,大きい、抱かれる、敵わない,拘束される、逃れられない、閉じ込められる,移り変わる、心地よい,決まった、強制する、支払う,丸い、落ちる,平等な、判断する,ボロボロだ、きたない,見えない、迷う,積み上げる、作り上げる、組み立てる,明るい、見通せる、照らす,突然に、不意に,暗い、深い、静か,見えない、隠す、邪魔する,爆発する、熱い、恐ろしい,輝く、映る,吸い付く、食らいつく、へばりつく,明るい、楽しい、美しい,リズミカルな、刻む、正確な,広い、波立つ、うねる,美しい、酔う,縛られる、拘る、拘束される,783967,
2,29,鋭い、鬱陶しい、うるさい,綺麗だ、高級だ,長い、果てしない,舞う、飛ぶ、止まらない,無限だ、溢れる,止まらない、荒い、激しい,鋭い、辛い,不健康だ、脅かす,小さい、貴重だ,芸術だ、自然だ、寒い,暗い、気味が悪い,脆い、崩れやすい,突然だ、驚く,規律正しい、堅苦しい、いやだ,自由だ、我儘だ、気ままだ,難しい、才能だ,上昇する、熱い,お見通しだ、綺麗だ,可愛い、純粋だ、清い,垂れている、美味しい,起きる、止まらない、突如だ,思いもよらない、厄介だ、鬱陶しい,段階的だ、確実だ,優しい、穏やか,不変だ、自然だ,辛い、しんどい、地獄だ,変わりやすい、様々だ、熱しやすい,幸せだ、豊かだ,綺麗だ、儚い、脆い,難しい、賢い,収まる、小さい,辛い、わかりにくい、果てしない,理屈っぽい、変わらない,眩しい、幸せ,必然だ、どうしようもない,果てしない、怖い,わかりにくい、隠れている,恐ろしい、止められない,無限だ、広い,美しい、小さい、可愛い,素晴らしい、綺麗だ、和ませる,止まる、死だ,広大だ、広い,素敵だ、幸せだ,真面目だ、堅苦しい,372821,
1,45,鋭い、痛い,黄金色の、丸い,地道な、絶え間ない,ひらひらと、舞う,あっという間に、逆らえない,激しい、抑えることができない,鋭い、痛々しい,病的な、蝕む,光り輝く、透明の,綺麗な、神秘的な,どんよりと、薄暗い,崩れやすい、砂上の,電撃的な、びりっと,避けられない、受動的な,神秘の、尊い,理解の難しい、読み解く,立ち上る、まっすぐと,澄んだ、映し出す,曇りの無い、純粋な,垂れ下がる、ちょこんと,止められない、勢いで,恐ろしい、どうにもならない,先の長い、地道な,ごくわずかな、微量の,どっかりと、大きな,永遠に続く、地獄の,移り変わる、巡るめく,少しづつ、気持ちだけの,恐れ多い、尊い,どちらとも言えない、決めかねる,固い、動かない,先の見えない、晴れない,固い、崩しにくい,明るい、先の見える,偶然に、決まりない,ずっしりと、見ることができない,神秘的な、先が見えない,瞬発的な、激しい,澄んでいる、大きな,ぷよっと、つやつやしい,朗らかな、明るい,地道な、刻一刻と,果てしなく、風になびく,ほんわりと、まとまった,縛られた、凝り固まった,848301,
1,37,届かない、陰口、傷つける,赤い、暮れなずむ,途方もない、果てしなく、,優雅、飛び回る,溢れている、絶え間ない,防げない、収まらない、嘘みたいだ,改革だ、発端、切り込み,有害、傷つける、危険だ,丸い、美しい、,彫刻、芸術、きれい,不気味だ、覆い尽くす,脆い、壊れる、崩れる,つらぬく、走る、一瞬に、,集団、規律、賑やかだ,可憐、品がある,難しい、読めない、,佇む、動かない,うつす、澄みわたる,可愛い、無垢、,色づく、食べ頃、ぶら下がる,押し寄せる、突発的だ、危険,隠れている、命取り、時限爆弾,順番、一歩ずつ、学び続ける,こぼれる、ほのかに,神々しい、一番、立派,苦しい、疲弊する、休めない,移り気、変わりやすい、とどまらない,決まりごと、約束、仕方なし,赤い、燃えるような,平等、揺れ動く,固い、使い古された,見え隠れ、覆われる、,積み上げる、複雑、,わずか、宿る,突然だ、やってくる、襲われる,静寂、闇の中、,隠す、覆う、,溢れ出す、突然、,深い、澄んでいる,吸い付く、危険,見惚れる、癒される、咲き乱れる,動く、規則正しい、限りある,広大、波打つ、ざわめく,艶めかしい、華やか、,守る、壁、バリア,343791,
1,55,傷付く、刺さる,黄色、光る,地道、上り坂,綺麗、舞う,止まらない、戻らない,荒れる、壊す,膿を出す、傷付ける,病気、不健康,綺麗、丸い,透明、造形,どんより、灰色,壊れる、積む,貫く、一瞬,共同、作業,気まま、自由,難しい、理解不能,細長い、大きい,青い、海の色,無垢、自由,ぶら下がる、丸い,群衆、大量,大きくなる、不必要,登る、一歩づつ,弱い、柔らかい,存在感、大きい,苦しむ、不自由,変化する、遷ろい,義務、強制,落ちる、赤い,公平、中立,遅い、ゆっくり,見えない、怖い,積み立てる、基礎,儚い、弱い,突然、逆らえない,深い、静か,見えづらい、邪魔,熱い、興奮する,深い、大きい,柔らかい、赤い,美しい、和む,刻む、動く,広い、波,匂い、幸せ,形式、建前,171098,
1,34,鋭い、痛い,美しい、赤い,高い、険しい,美しい、見入る,流れる、溢れる,恐ろしい、騒がしい,鋭い、切れる,危険な、刻々と,美しい、儚い,冷たい、鋭い,暗い、滲んだ,白い、無機質な,痺れる、痛い,広い、生産的な,可愛い、偉そう,難解な、不明な,高い、立派な,眩しい、美しい,可愛い、貴重な,赤い、明るい,止まらない、勢いがある,邪魔な、不要な,険しい、こつこつと,微かな、ふわりと,高い、偉そうな,きつい、窮屈な,巡る、移ろう,高い、苦しい,儚い、綺麗な,傾く、揺れる,汚れた、長命な,見えない、掴み所が無い,硬い、高い,儚い、わずかな,怖い、不可避,静かな、深い,見えない、濃い,激しい、熱い,広い、美しい,太い、吸い付く,華やか、まぶしい,止まらない、ゆっくりと,広い、ゆらゆらと,芳しい、美しい,堅苦しい、冷たい,615315,
1,30,鋭い、切る,明るい、輝く,比例する、地道だ,艶やかだ、美しい,あふれる、多い,激しい、破壊する,鋭い、切れる,むしばむ、着実だ,綺麗だ、輝く,滑らかだ、澄んでいる,薄暗い、広がる,四角い、均質だ,速い、響く,画一的だ、大変だ,いじわる、気まぐれだ,記す、規則的だ,古い、硬い,映す、見透かす,かわいい、無邪気だ,丸い、赤い、,突発的だ、激しい,悪い、巣くっている,登る、地道だ,ささやかだ、少ない,大きい、壮大だ,苦しい、つらい,移ろう、変わる,払う、納める,怖い、恐れる,公平だ、判断する,汚い、臭い,見えない、暗い,角ばっている、筋が通っている,明るい、燃える,気まぐれだ、不意だ,暗い、静かだ,包む、隠す,激しい、突発的だ,湛える、潤う,離れない、吸う,愛らしい、かわいい,均一だ、刻む,広い、見渡せる,魅力的だ、麗しい,網羅的だ、形式ばっている,211056,
1,33,鋭い、短い、頼りない,お宝だ、赤い,困難な、果てしない、先が見えない,美しい、可愛い、華やかな,いっぱい、大量の、溢れる,乱暴な、食い荒らす、乱れる,鋭い、刺さる、抉りとる,危険な、怖い,綺麗な、美しい、儚い,綺麗な、脆い,灰色の、怪しい、不気味な,四角い、きっちりとしている、正しい,走る、一瞬の、痺れる,広い、大勢の,高貴な、美しい、威厳のある,複雑な、難しい、謎めいている,硬い、大きい、どっしりとしている,映し出す、反射する,可愛い、愛らしい、大切な,明るい、赤い,止まらない、大量の、力強い,不快な、重い,こつこつと、規則通りの、長い,弱々しい、静かな、悲しい,しっかりとしてる、屈強な、威厳がある,大変だ、厳しい、苦しい,切り替わる、穏やかな、長い,重い、大変な,明るい、儚い,はっきりとしてる、平等の、公平な,硬い、重い、遅い,先が見えない、分からない、晴れそうにない,頑固な、しっかりとした、整っている,うっすらな、静かな、明るい,理不尽な、予測できない、一瞬の,深い、重い、沈むような,薄い、透けているような、柔らかい,激しい、止まらない,大きい、澄んでいる、綺麗な,醜い、酷い、不快な,綺麗な、明るい、美しい,正確な、きちんと、一定の,広い、美しい、豊かな,纏まっている、多い、一緒の,がっちりとしている、頑固な,837258,
1,40,傷つく、恐ろしい,きれい、儚い,高い、辛い,軽い、美しい,早い、怖い、,強い、怖い、短い,傷つく、痛い,悪い、怖い,キレイ、美しい、澄んでいる,細い、冷たい、落ちる,暗い、冷たい,高い、固い,驚く、笑う,忙しい、働く,可愛い、美しい,難しい、頑張る,黒い、固い,青い、心地よい,明るい、走る、笑う,丸い、甘い,多い、怖い、長い,湧き上がる、悪い,長い、歩く,弱い、軽い、,高い、強い,辛い、辞める、長い,短い、愛おしい,辛い、働く,赤い、小さい,正しい、冷たい、客観的だ,汚い、臭い,怖い、立ちすくむ,頑丈だ、四角い,明るい、赤い、小さい,避けられない、追われる、逃げる,深い、冷たい、分からない,暗い、留まる、冷たい,怖い、熱い、赤い,深い、冷たい,冷たい、痛い,明るい、和む,正確だ、短い,広い、大きい、温かい,良い、きれい、高い,かしこまる、しんどい,236761,
1,32,かすり傷、気にしない,美しい、見惚れる,道無き道、険しい,華麗に舞う、美しい,押し寄せる、止められない,止められない、恐怖,解剖、痛々しい,体に悪い、痛い,美しい、綺麗,芸術的、自然の偉大さ,鼠色、不気味,永遠じゃない、いずれ壊れる,一瞬、あっという間,退屈、めんどくさい,わがまま、自由勝手気まま,難しい、訳がわからない,白い、獲れ得られない,見透かされる、正直,幸せ、唯一無二,ぶら下がっているもの、オレンジ色,群衆、一度起こると止められない,触れたがらない、痛々しい,登っていく、極める,微か、あるのかないのかわからない,不動、絶対的,窮屈、苦しい,移り変わるもの、暑く寒く,納めないといけないもの、避けて通れない,心、綺麗,裁き、許しをこう,汚い、触りたくない,見えない、恐怖,積み上げるもの、硬い,炎、情熱,突然、避けようがない,闇、孤独,見えない、隠す,爆発、止められない,怖い、吸い込まれそう,痺れる、引っ付く,幸せ、明るい,流れる、決まっているもの,広い、穏やか,誘惑、魅力,堅苦しい、決まりきったもの,479382,
1,31,痛い、恐い、切りつける,綺麗、広がる、高い,長い、高い、大きい,可愛い、美しい、綺麗,大きい、長い、怖い,大きい、怖い、うるさい,痛い、怖い、鋭い,怖い、危ない、うるさい,美しい、綺麗、高い,美しい、綺麗、細い,綺麗、大きい、怖い,甘い、美しい、怖い,痛い、速い、うるさい,難しい、大きい、長い,美しい、可愛い、小さい,難しい、小さい、細かい,硬い、大きい、重い,美しい、大きい、深い,可愛い、小さい、柔らかい,可愛い、綺麗、小さい,怖い、痛い、立ちはだかる,怖い、痛い、深い,難しい、高い、長い,甘い、長い、小さい,高い、立ちはだかる、大きい,長い、つらい、狭い,熱い、美しい、大きい,つらい、重い、長い,怖い、高い、大きい,難しい、重い、怖い,汚い、臭い、怖い,怖い、恐ろしい、深い,大きい、立ちはだかる、細かい,儚い、小さい、遠い,怖い、恐ろしい、難しい,深い、怖い、大きい,深い、怖い、難しい,うるさい、大きい、痛い,大きい、深い、怖い,柔らかい、甘い、怖い,綺麗、美しい、可愛い,怖い、深い、短い,広い、深い、綺麗,美しい、可愛い、深い,狭い、硬い、細い,177114,
2,35,鋭い、強い,きらめく、丸い,積み重ねる、大変だ、難しい,舞う、身軽だ,流れる、速い,吹きすさぶ、荒れる、危ない,傷つける、尖っている,危ない、有害だ,きれい、丸い、輝いている,きれいだ、尖っている,灰色だ、滴る,脆い、崩れる,強い、するどい,規則正しい、機械的だ,気高い、強い,難しい、分からない,堅い、高い,映し出す、反射する,かわいい、元気だ、小さい,丸い、ぶら下がる,勢いのある、危険だ,なくならない、悪い,積み重ねる、疲れる、大変だ,あたたかい、やわらかい,大きい、動かない,息苦しい、大変だ,移り変わる、いろいろだ,厳しい、つらい,目立つ、明るい,公平だ、平等だ,臭い、汚い,立ち込める、重たい,きちんとしている、硬い,小さい、消える,怖い、急だ,静かだ、深い,薄い、やわらかい,爆発する、熱い,大きい、冷たい,厚い、気持ち悪い,きれい、可憐だ,規則正しい、動く,広い、大きい、波打つ,かぐわしい、華やかだ,堅苦しい、窮屈だ,487568,
1,39,痛い、嫌だ,きれい、滲んだ,突き進んだ、高い,綺麗だ、明るい,はやい、流れ込んだ,怖い、恐ろしい,嫌だ、おかしい,おかしい、危険だ,綺麗だ、神秘だ,みずみずしい、青い,不気味だ、不安だ,甘い、変だ,痛い、怖い,珍しい、異質だ,凄い、驚きだ,おかしい、あやしい,白い、固い,澄んだ、広大だ,可愛い、微笑ましい,だいたいだ、おかしい,多い、恐ろしい,痛々しい、怪しい,進んだ、丁寧だ,よどんだ、白々しい,高い、えらい,きつい、地獄だ,おかしい、進んだ,面倒だ、いやらしい,変だ、怪しげだ,平等だ、気まぐれだ,固い、おかしい,怖い、不安だ,高い、難解だ,光だ、明るい,わからない、偶然だ,深い、静かだ,見えづらい、白い,怖い、強固だ,広い、鮮明だ,あやしい、噛んだ,明るい、微笑ましい,進んだ、ゆっくりだ,広い、広大だ,疎い、あやしげだ,かた苦しい、規則正しい,131627,
2,30,きつい、鋭い,丸い、綺麗だ,着実だ、登る,舞う、優雅だ,激しい、とめどない,激しい、危険だ,切り込む、鋭い,危険だ、害がある,繊細、儚い,脆い、儚い,暗い、重い,白い、四角い,一瞬だ、眩しい,規則的だ、大きい,気品がある、優雅だ、自由気まま,分かりにくい、難しい,象徴だ、高い、硬い,映る、綺麗だ,無邪気、あどけない、純粋だ,ぶら下がる、仄明るい,激しい、危険だ,異物だ、煩わしい,計画的だ、昇る,静かだ、優しい,雄大だ、安定,苦痛だ、辛い,移り変わる、穏やかだ,辛い、重い,暗い、静かだ,公平だ、水平だ,遅い、臭い,見えない、覆う,高い、硬い,灯る、温かい,残酷だ、危険だ,暗い、深い,覆う、隠す,爆発だ、危険だ,綺麗だ、純粋だ,吸う、張り付く,華やかだ、可憐だ,規則的だ、一定,広い、穏やかだ,華やか、良い匂いだ,儀式的だ、堅苦しい,214891,
2,42,鋭い、切れる,赤い、硬い,疲れる、孤独な,元気な、きれい,あふれる、乱雑な,困難な、大きい,切れる、あざやかだ,怖い、迷惑だ,丸い、あふれる,繊細な、きらびやかだ,暗い、粗末な,かたい、穏やかだ,静かな、ひそやかだ,大きい、大切な,かわいい、上品だ,難しい、ひそやかだ,かたい、重い,正しい、上品だ,元気な、大切な,ぶら下がる、のどかだ,危険な、激しい,かたい、怖い,疲れる、高い,小さい、静かだ,偉い、上品だ,暗い、孤独な,ひそやかだ、うれしい,重い、疲れる,明るい、燃える,正しい、あきらかだ,のろい、待つ,濃い、怖い,高い、きらびやかだ,明るい、はなやかだ,怖い、嫌い,静かな、深い,孤独な、静かな,うるさい、乱暴な,広い、穏やかな,厚い、なめらかだ,きれいな、明るい,動く、大切な,果てしない、穏やかだ,綺麗な、はなやかだ,孤独な、重い,938806,
1,51,鋭い、嫌われる、賢い,赤い、丸い、輝く,究める、厳しい、着実な,可愛い、妖しい、儚い,流れる、過ぎ去る、制御不能な,抗えない、暴力的な、悲しい,鋭い、適切な、痛烈な,警告する、合理的な、妥当な,悲しい、女性的な、ロマンティックな,透明な、美しい、割れる,湿った、灰色の、不安な,四角い、白い、可愛い,瞬間的な、眩しい、痛烈な,生産的な、隷属的な、画一的な,わがままな、可愛い、やんちゃな,論理的、難しい、楽しい,堅牢な、孤高な、硬い,明るい、澄んだ、率直な,可愛い、小さい、純粋な,赤い、熟した、美味しそうな,連鎖的な、抗えない、高圧的な,不安な、恐ろしい、未知の,成長する、登る、飛躍する,優しい、包まれる、マクロな,強大な、不動の、絶対的な,悲しい、現実的な、厳しい,繰り返される、本能的、暖かい,横柄な、高圧的な,暗い、恐ろしい,客観的な、大雑把な、公平な,平らな、哀れな、汚れた,薄暗い、見通しが悪い、しつこい,堅牢な、合理的な、美しい,かすかな、わずかな、明るい,不可避な、悲惨な、厳しい,暗い、静かな、冷たい,白い、ぼやけた、美しい,爆発的な、壊滅的、抗えない,冷たい、冷徹な、静かな,赤い、柔らかい、妖しい,ほころぶ、明るい、嬉しい,一定の、恒久的な、重要な,黄金色の、豊穣の、嬉しい,芳しい、抽出する、絞る,煩わしい、画一的な、古めかしい,459279,